entry,exit,qty,pnl,net_pnl,return,reason
189.6,185.808,10,-3792.000000000002,-3867.000000000002,-2.0395569620253173,SL
131.4,213.54000000000008,8,65712.00000000006,65637.00000000006,62.44006849315073,SL
211.1,206.878,9,-3799.8000000000075,-3874.8000000000075,-2.0394757618822084,SL
268.0,262.64,9,-4824.000000000013,-4899.000000000013,-2.0310945273631895,SL
270.0,264.6,7,-3779.999999999984,-3854.999999999984,-2.039682539682531,SL
214.9,210.602,6,-2578.800000000001,-2653.800000000001,-2.0581665891112153,SL
270.6,265.18800000000005,7,-3788.399999999984,-3863.399999999984,-2.039594551789665,SL
212.2,207.956,11,-4668.4,-4743.4,-2.032130922800103,SL
212.3,208.054,12,-5095.200000000012,-5170.200000000012,-2.0294394724446585,SL
195.7,191.78599999999997,15,-5871.000000000024,-5946.000000000024,-2.0255493101686337,SL
199.7,195.706,9,-3594.6,-3669.6,-2.041729260557503,SL
258.5,259.9,12,1679.9999999999727,1604.9999999999727,0.5174081237910937,Signal
181.7,178.06599999999997,13,-4724.200000000019,-4799.200000000019,-2.0317514076457472,SL
206.7,202.56599999999997,11,-4547.400000000016,-4622.400000000016,-2.0329858820424933,SL
186.3,182.574,11,-4098.5999999999985,-4173.5999999999985,-2.0365978626848182,SL
215.0,210.7,11,-4730.000000000013,-4805.000000000013,-2.031712473572944,SL
238.2,233.43599999999998,11,-5240.400000000011,-5315.400000000011,-2.0286237691779294,SL
213.0,208.74,8,-3407.9999999999927,-3482.9999999999927,-2.044014084507038,SL
213.2,208.93599999999998,9,-3837.600000000009,-3912.600000000009,-2.0390869293308365,SL
181.2,177.576,16,-5798.399999999992,-5873.399999999992,-2.0258692052980103,SL
155.0,151.9,33,-10229.999999999982,-10304.999999999982,-2.014662756598237,SL
156.2,153.076,13,-4061.199999999994,-4136.199999999993,-2.0369348960898224,SL
139.7,136.90599999999998,13,-3632.2000000000144,-3707.2000000000144,-2.0412972853917815,SL
123.5,121.03,17,-4198.999999999998,-4273.999999999998,-2.035722791140747,SL
185.9,182.18200000000002,19,-7064.19999999998,-7139.19999999998,-2.0212338269018373,SL
127.5,124.95,9,-2294.9999999999973,-2369.9999999999973,-2.0653594771241806,SL
244.9,240.002,8,-3918.399999999997,-3993.399999999997,-2.03828093099224,SL
167.8,164.44400000000002,9,-3020.399999999995,-3095.399999999995,-2.0496622963845814,SL
180.5,176.89,15,-5415.00000000002,-5490.00000000002,-2.027700831024938,SL
144.1,141.218,12,-3458.400000000006,-3533.400000000006,-2.0433726578764784,SL
214.0,209.72,10,-4280.000000000001,-4355.000000000001,-2.035046728971963,SL
244.9,240.002,22,-10775.599999999991,-10850.599999999991,-2.013920338542632,SL
226.9,222.362,19,-8622.20000000002,-8697.20000000002,-2.0173969520540047,SL
109.7,109.2,18,-900.0,-975.0,-0.49377089030689764,Signal
106.5,104.37,60,-12779.999999999973,-12854.999999999973,-2.0117370892018736,SL
143.1,140.238,48,-13737.599999999975,-13812.599999999975,-2.010918937805727,SL
203.8,199.72400000000002,64,-26086.399999999958,-26161.399999999958,-2.0057501226692804,SL
